PlayerID,PlayerName,SeasonYear,Team,Role,ModelVersion,MappingVersion,G,GS,IP,BF,Confidence,IncompleteSeason,AsOfDate,ControlScore,HRSuppressionScore,StaminaScore,StuffScore,ControlRatingRaw,HRSuppressionRatingRaw,StaminaRatingRaw,StuffRatingRaw,ControlRatingDisplay,HRSuppressionRatingDisplay,StaminaRatingDisplay,StuffRatingDisplay
1354,葉詠捷,2006,兄弟,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,24,8,69.6666666667,334,Regular,False,2026-08-11,-0.761868152493,-3.34532512089,-0.0749279913596,-0.974534755576,58.7690374482,36.5448293991,64.4527031912,56.8084310842,59,37,64,57
1354,葉詠捷,2007,兄弟,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,29,14,79,372,Regular,False,2026-08-11,-1.77932395599,0.0800177492018,0.0860617133699,1.5767476087,49.0282864146,65.5789771216,65.6229375188,77.1615606492,49,66,66,77
1354,葉詠捷,2008,兄弟,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,47,2,64.6666666667,273,Regular,False,2026-08-11,-0.092370958179,-0.041742179302,-1.031039471,1.38399445864,64.3230681754,64.6970245037,56.2759784583,75.6225323996,64,65,56,76
1354,葉詠捷,2009,兄弟,RP,B_Role-v0.1,B_QuadraticTanh-v1,34,0,46.3333333333,214,Regular,False,2026-08-11,-1.31031029087,-1.20554865259,0.534399004621,-0.385900713291,53.5937525999,54.6079891574,68.9658691525,62.0202583351,54,55,69,62
1354,葉詠捷,2010,兄弟,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,34,3,49.3333333333,201,Regular,False,2026-08-11,-0.730507100921,0.216427432315,-1.0827584121,-0.30539045399,59.0515394205,66.5787077313,55.7850677782,62.6740532367,59,67,56,63
1354,葉詠捷,2011,兄弟,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,24,11,53.3333333333,239,Regular,False,2026-08-11,-1.63147723205,-2.20628126402,-0.791158085804,-0.226289305408,50.4619530939,45.0252566056,58.5035451021,63.300365314,50,45,59,63
1355,威霸,2006,興農,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,22,14,98,402,Regular,False,2026-08-11,0.816455232982,-0.920920499481,1.10116628468,1.11496352154,71.1399145812,57.3095202398,73.3752856398,73.4844161432,71,57,73,73
1356,愛力克,2006,統一7-ELEVEn獅,SP,B_Role-v0.1,B_QuadraticTanh-v1,19,19,128.666666667,530,Qualified,False,2026-08-11,0.396093988206,-0.524515013493,0.523150886952,0.0785680663152,67.9183756101,60.857832293,68.8801859672,65.5684376636,68,61,69,66
1357,盧銘銓,2006,興農,RP,B_Role-v0.1,B_QuadraticTanh-v1,18,0,24,115,Provisional,False,2026-08-11,-1.63885975031,-0.890654628019,-0.890746243316,-0.832638410389,50.3900753371,57.5904810881,57.5896327803,58.12493203,50,58,58,58
1357,盧銘銓,2007,興農,RP,B_Role-v0.1,B_QuadraticTanh-v1,12,0,20.3333333333,96,Provisional,False,2026-08-11,-0.8836603205,-1.54341375015,-0.164311031531,-0.716717663088,57.6552050793,51.3207127797,63.7796580967,59.1751633426,58,51,64,59
1358,捷猛士,2006,誠泰,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,18,4,33.3333333333,144,Provisional,False,2026-08-11,0.552356097051,-0.600150837565,-1.12271769623,-0.0639254110519,69.1028320774,60.2050020383,55.4036728639,64.5340435302,69,60,55,65
1359,林正豐,2006,統一7-ELEVEn獅,RP,B_Role-v0.1,B_QuadraticTanh-v1,18,0,25.3333333333,118,Provisional,False,2026-08-11,-1.33838776154,0.17623344196,-0.561511711261,-1.46829896116,53.3207921362,66.2825095699,60.5400793211,52.0541373886,53,66,61,52
1359,林正豐,2007,統一7-ELEVEn獅,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,29,3,50.6666666667,246,Regular,False,2026-08-11,-0.513963729672,0.397671087844,-0.793898214288,-0.784238753726,60.94789044,67.9302437268,58.4786282241,58.5664047333,61,68,58,59
1359,林正豐,2008,統一7-ELEVEn獅,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,20,8,62,262,Regular,False,2026-08-11,0.183369620791,-0.594663536072,-0.00985620889012,0.103062155618,66.335000401,60.2527847008,64.928899391,65.7467587747,66,60,65,66
1359,林正豐,2009,統一7-ELEVEn獅,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,50,3,75.6666666667,347,Regular,False,2026-08-11,0.733405569895,-1.33702465642,-0.434044440013,-0.0456621802103,70.4950084593,53.3340526535,61.6216783627,64.668323183,70,53,62,65
1359,林正豐,2010,統一7-ELEVEn獅,RP,B_Role-v0.1,B_QuadraticTanh-v1,47,0,59.6666666667,254,Qualified,False,2026-08-11,0.188386027207,0.538280843548,0.54864816367,-0.169816927347,66.3719242875,68.9954588122,69.0745334187,63.7374932219,66,69,69,64
1359,林正豐,2011,統一7-ELEVEn獅,RP,B_Role-v0.1,B_QuadraticTanh-v1,37,0,37.6666666667,180,Regular,False,2026-08-11,-0.942147101526,0.199484785251,-1.13267462821,-0.424367569028,57.1116362717,66.4536918436,55.3083734813,61.7022417104,57,66,55,62
1359,林正豐,2013,義大,RP,B_Role-v0.1,B_QuadraticTanh-v1,50,0,48.6666666667,218,Regular,False,2026-08-11,-0.150934686168,1.06069077154,-0.0865921844321,0.480964329002,63.8817571983,73.0555129847,64.3661081055,68.5595879244,64,73,64,69
1359,林正豐,2015,義大,RP,B_Role-v0.1,B_QuadraticTanh-v1,50,0,50,223,Qualified,False,2026-08-11,0.834002228582,-0.538276700981,0.547104076991,0.351304828555,71.2766323918,60.7399946911,69.0627517294,67.5820921432,71,61,69,68
1360,布拉克,2006,兄弟,RP,B_Role-v0.1,B_QuadraticTanh-v1,18,0,23,103,Provisional,False,2026-08-11,0.219579682667,0.621270218112,-1.13767214236,-0.446512715341,66.601993295,69.6303884402,55.260503437,61.5175462344,67,70,55,62
1361,杜寅傑,2006,興農,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,16,2,20.6666666667,102,Provisional,False,2026-08-11,-0.276178416285,0.938691158833,-1.5830243654,-1.04123305905,62.9072305016,72.0953959695,50.9341900908,56.1794795143,63,72,51,56
1361,杜寅傑,2007,興農,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,21,2,24.3333333333,122,Provisional,False,2026-08-11,-1.83550955788,-1.66463722369,-1.46431066239,-0.402901305307,48.4877852458,50.1392900375,52.0930773248,61.8801520723,48,50,52,62
1361,杜寅傑,2008,興農,RP,B_Role-v0.1,B_QuadraticTanh-v1,29,0,50.6666666667,228,Qualified,False,2026-08-11,-0.467123304793,0.427913402158,0.964381080046,0.299025621996,61.3446046511,68.1581754002,72.2970705844,67.1914868656,61,68,72,67
1361,杜寅傑,2009,興農,RP,B_Role-v0.1,B_QuadraticTanh-v1,13,0,22,93,Provisional,False,2026-08-11,0.903305998058,-0.864678573645,0.727634775435,-0.35493377672,71.8180829882,57.8304610392,70.4503352736,62.2736421016,72,58,70,62
1361,杜寅傑,2010,兄弟,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,13,7,36,161,Provisional,False,2026-08-11,0.236644766507,-1.4833970581,-0.649091923772,-0.302675205114,66.7281922716,51.9067160914,59.7760093001,62.6958188517,67,52,60,63
1362,蘇哲毅,2006,中信,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,15,6,49,219,Regular,False,2026-08-11,-0.739777346325,0.0790083626635,-0.199422674065,0.35063428248,58.9682258215,65.5716385047,63.5093818077,67.5770689652,59,66,64,68
1362,蘇哲毅,2007,中信,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,20,9,58,275,Regular,False,2026-08-11,-1.18466646005,0.159542815457,-0.151035104887,-0.0316070634005,54.8091771794,66.1599055535,63.8809925127,64.7710338009,55,66,64,65
1363,喬伊,2006,兄弟,SP,B_Role-v0.1,B_QuadraticTanh-v1,15,15,102,426,Regular,False,2026-08-11,-0.90113801968,1.07810472299,0.278891320903,0.123042727224,57.4933244649,73.1930205134,67.0416161444,65.8926033235,57,73,67,66
1363,喬伊,2007,兄弟,SP,B_Role-v0.1,B_QuadraticTanh-v1,27,25,144,625,Qualified,False,2026-08-11,-1.24371029492,-1.36341642272,0.0124982010514,2.0160157349,54.2394138926,53.077165388,65.0900572196,80.6615561748,54,53,65,81
1364,史帝夫,2006,中信,SP,B_Role-v0.1,B_QuadraticTanh-v1,14,13,75.6666666667,336,Provisional,False,2026-08-11,-1.35614644476,-1.20609803706,-1.22715830464,0.268505162959,53.1479576214,54.6026912006,54.3994150035,66.9644306506,53,55,54,67
1365,威勇,2006,興農,Swingman,B_Role-v0.1,B_QuadraticTanh-v1,14,10,57,258,Regular,False,2026-08-11,-2.1407286134,0.374779643993,0.312399760899,2.45929094695,45.6208477315,67.7581586189,67.2912123882,84.1319735767,46,68,67,84
